ID,Latitude,Longitude,variable,,,,
USC00200718,46.5869,-89.5475,SNWD,1888,2020,,
USC00205065,44.2114,-86.2939,TMAX,1888,2020,,
USC00205065,44.2114,-86.2939,TMIN,1888,2020,,25051
USC00018024,33.4164,-86.135,PRCP,1888,2020,,
USC00260507,39.4931,-117.0675,SNOW,1888,2020,,
USC00262708,39.5169,-115.9622,TMAX,1888,2020,,
USC00262708,39.5169,-115.9622,TMIN,1888,2020,,
USC00018038,32.4392,-86.2025,PRCP,1978,2020,,
USC00262708,39.5169,-115.9622,SNOW,1888,2020,,
USC00018178,31.9172,-87.7347,PRCP,1891,2014,,
USC00461220,38.9803,-80.22,SNWD,1888,2020,,
USC00018209,32.9206,-86.6708,PRCP,1957,2020,,
USC00463544,38.9339,-80.8317,SNOW,1888,2020,,
USC00463544,38.9339,-80.8317,SNWD,1888,2020,,
USC00018323,31.8075,-85.9722,PRCP,1908,2020,,
USC00469522,37.7883,-80.3083,SNOW,1888,2020,,
USC00469522,37.7883,-80.3083,SNWD,1888,2020,,
USW00014936,44.3981,-98.2231,SNOW,1888,2020,,
USW00014936,44.3981,-98.2231,SNWD,1888,2020,,
USC00018385,33.2097,-87.5936,PRCP,1900,2020,,
USW00024121,40.8289,-115.7886,TMIN,1888,2020,,
USC00018438,32.0142,-85.7464,PRCP,1892,2016,,
USW00024121,40.8289,-115.7886,SNOW,1888,2020,,
USW00024121,40.8289,-115.7886,WT01,1888,2020,,
USW00094728,40.7789,-73.9692,SNWD,1888,2020,,
USC00270690,44.4536,-71.1856,WT03,1888,2019,,
USC00152775,38.6872,-84.3586,SNOW,1888,2018,,
USC00270690,44.4536,-71.1856,WT05,1888,2018,,
USC00467785,39.3419,-79.6697,SNOW,1888,2018,,
USC00266252,37.9339,-114.4522,TMAX,1888,2016,,
USC00266252,37.9339,-114.4522,TMIN,1888,2016,,
USC00018446,32.5506,-87.5308,PRCP,1893,2019,,
USC00266252,37.9339,-114.4522,SNOW,1888,2016,,
USC00018469,34.5686,-85.6064,PRCP,1893,2020,,
USC00301413,42.0025,-76.6383,SNOW,1888,2016,,
USC00301413,42.0025,-76.6383,SNWD,1888,2016,,
USC00270690,44.4536,-71.1856,WT11,1888,2014,,
USW00024121,40.8289,-115.7886,WT11,1888,2013,,
USW00024121,40.8289,-115.7886,WT16,1888,2013,,
USW00024121,40.8289,-115.7886,WT18,1888,2013,,
USC00068138,41.795,-72.2286,WT03,1888,2012,,
USC00068138,41.795,-72.2286,WT05,1888,2012,,
